function,count,file,line,type,snippet
getCmsFastWorkspaceData,4,Code.gs,2906,function,function getCmsFastWorkspaceData(complaintNo) {
getCmsFastWorkspaceData,4,Code_P6_1_FirestoreFastIntegration.gs,10,function,"function getCmsFastWorkspaceData(complaintNo), rename that old function to:"
getCmsFastWorkspaceData,4,Code_P6_1_FirestoreFastIntegration.gs,41,function,function getCmsFastWorkspaceData(complaintNo) {
getCmsFastWorkspaceData,4,Code_P6_2_FirestoreStageCapaActions.gs,129,function,function getCmsFastWorkspaceData(complaintNo) {
esc,3,p63_patch/CMS_Bootstrap_P6_3_WorkspaceChatFix.html,28,function,"function esc(v){return String(v == null ? '' : v).replace(/[&<>""']/g,function(c){return {'&':'&amp;','<':'&lt;','>':'&gt;','""':'&quot;',""'"":'&#39;'}[c];});}"
esc,3,p64_patch/CMS_Bootstrap_P6_4_DashboardChatDataFix.html,13,function,"function esc(v){return String(v==null?'':v).replace(/[&<>""']/g,function(c){return {'&':'&amp;','<':'&lt;','>':'&gt;','""':'&quot;',""'"":'&#39;'}[c]})}"
esc,3,p65_patch/CMS_Bootstrap_P6_5_UserAccessManagement.html,13,function,"function esc(v){return String(v==null?'':v).replace(/[&<>""']/g,function(c){return {'&':'&amp;','<':'&lt;','>':'&gt;','""':'&quot;',""'"":'&#39;'}[c]})}"
executeCmsLifecycleAction,3,Code.gs,1742,function,"function executeCmsLifecycleAction(complaintNo, actionCode, remark) {"
executeCmsLifecycleAction,3,Code_P6_2_FirestoreStageCapaActions.gs,196,function,"function executeCmsLifecycleAction(complaintNo, actionCode, remark) {"
executeCmsLifecycleAction,3,Code_P6_2_FirestoreStageCapaActions.gs,583,function,function executeCmsLifecycleAction(payload) {
getCmsTrackingData,3,Code.gs,2941,function,"function getCmsTrackingData(fy, statusFilter) {"
getCmsTrackingData,3,Code_P6_2_FirestoreStageCapaActions.gs,43,function,"function getCmsTrackingData(fy, statusFilter) {"
getCmsTrackingData,3,p64_patch/ZZZ_Code_P6_4_DashboardChatDataFix.gs,31,function,"function getCmsTrackingData(fy, statusFilter) {"
loader,3,p63_patch/CMS_Bootstrap_P6_3_WorkspaceChatFix.html,33,function,function loader(on){var el=qs('loader'); if(el) el.style.display=on?'flex':'none';}
loader,3,p64_patch/CMS_Bootstrap_P6_4_DashboardChatDataFix.html,17,function,function loader(on){var el=q('loader'); if(el)el.style.display=on?'flex':'none'}
loader,3,p65_patch/CMS_Bootstrap_P6_5_UserAccessManagement.html,17,function,function loader(on){var el=q('loader'); if(el)el.style.display=on?'flex':'none'}
val,3,p63_patch/CMS_Bootstrap_P6_3_WorkspaceChatFix.html,29,function,function val(){for(var i=0;i<arguments.length;i++){var v=arguments[i]; if(v!==undefined && v!==null && String(v).trim()!=='') return v;} return '';}
val,3,p65_patch/CMS_Bootstrap_P6_5_UserAccessManagement.html,14,function,function val(id){var e=q(id); return e&&typeof e.value==='string'?e.value.trim():''}
val,3,p70_patch/CMS_Bootstrap_P7_0_StabilizationRefactor.html,16,function,function val(id){ var el = byId(id); return el ? el.value : ''; }
window.openCmsDetail,3,p63_patch/CMS_Bootstrap_P6_3_WorkspaceChatFix.html,38,window,window.openCmsDetail = function(complaintNo){
window.openCmsDetail,3,p64_patch/CMS_Bootstrap_P6_4_DashboardChatDataFix.html,48,window,window.openCmsDetail=function(no){ if(!no){showError('Complaint No missing');return;} if(typeof showPage==='function')showPage('workspacePage'); window.CURRENT_
window.openCmsDetail,3,p70_patch/CMS_Bootstrap_P7_0_StabilizationRefactor.html,192,window,window.openCmsDetail = function(complaintNo){
window.runFastStageAction,3,p63_patch/CMS_Bootstrap_P6_3_WorkspaceChatFix.html,56,window,"window.runFastStageAction = function(actionCode, complaintNo){"
window.runFastStageAction,3,p64_patch/CMS_Bootstrap_P6_4_DashboardChatDataFix.html,56,window,"window.runFastStageAction=function(code,no){no=no||(window.CURRENT_COMPLAINT&&window.CURRENT_COMPLAINT.complaintNo)||''; if(!no){showError('Complaint No missing"
window.runFastStageAction,3,p70_patch/CMS_Bootstrap_P7_0_StabilizationRefactor.html,273,window,"window.runFastStageAction = function(actionCode, complaintNo){"
add,2,Code.gs,1004,function,"function add(label, value) {"
add,2,p63_patch/Code_P6_3_WorkspaceChatAccess.gs,84,function,"function add(code, label, type, needsRemark) {"
approveCmsCapaAndCloseP6,2,Code_P6_1_FirestoreFastIntegration.gs,196,function,"function approveCmsCapaAndCloseP6(complaintNo, remark) {"
approveCmsCapaAndCloseP6,2,Code_P6_2_FirestoreStageCapaActions.gs,267,function,"function approveCmsCapaAndCloseP6(complaintNo, remark) {"
clearP6FirestoreTokenCache,2,Code_P6_FirestoreBridge.gs.txt,471,function,function clearP6FirestoreTokenCache() {
clearP6FirestoreTokenCache,2,Code_P6_1_FirestoreFastIntegration.gs,270,function,function clearP6FirestoreTokenCache() {
cmsP6GetComplaintSheet_,2,Code_P6_FirestoreBridge.gs.txt,239,function,function cmsP6GetComplaintSheet_() {
cmsP6GetComplaintSheet_,2,Code_P6_1_FirestoreFastIntegration.gs,328,function,function cmsP6GetComplaintSheet_() {
debugP6FirestoreConfig,2,Code_P6_FirestoreBridge.gs.txt,459,function,function debugP6FirestoreConfig() {
debugP6FirestoreConfig,2,Code_P6_1_FirestoreFastIntegration.gs,256,function,function debugP6FirestoreConfig() {
getCmsComplaintTracking,2,Code.gs,1900,function,function getCmsComplaintTracking(complaintNo) {
getCmsComplaintTracking,2,Code_P6_2_FirestoreStageCapaActions.gs,449,function,function getCmsComplaintTracking(complaintNo) {
getCmsCurrentAccessP6_3,2,p63_patch/Code_P6_3_WorkspaceChatAccess.gs,48,function,function getCmsCurrentAccessP6_3() {
getCmsCurrentAccessP6_3,2,p65_patch/ZZZ_Code_P6_5_UserAccessManagement.gs,207,function,function getCmsCurrentAccessP6_3() {
getCmsInvestigationCapaWorkspace,2,Code.gs,2307,function,function getCmsInvestigationCapaWorkspace(complaintNo) {
getCmsInvestigationCapaWorkspace,2,Code.gs,2524,function,function getCmsInvestigationCapaWorkspace(complaintNo) {
getCmsTrackingDataLegacy,2,Code.gs,1824,function,function getCmsTrackingDataLegacy(fyKey) {
getCmsTrackingDataLegacy,2,Code.gs,2398,function,function getCmsTrackingDataLegacy(fyKey) {
getMyCmsAccess,2,Code.gs,172,function,function getMyCmsAccess() {
getMyCmsAccess,2,p65_patch/ZZZ_Code_P6_5_UserAccessManagement.gs,211,function,function getMyCmsAccess() {
linkBtn,2,p63_patch/CMS_Bootstrap_P6_3_WorkspaceChatFix.html,120,function,"function linkBtn(label,url){return url?'<a class=""p63-btn soft"" target=""_blank"" href=""'+esc(url)+'"">'+esc(label)+'</a>':'<button class=""p63-btn secondary"" disab"
linkBtn,2,p70_patch/CMS_Bootstrap_P7_0_StabilizationRefactor.html,242,function,"function linkBtn(label, url){ return url ? '<a class=""btn-soft"" target=""_blank"" href=""'+safe(url)+'"">'+safe(label)+'</a>' : '<span class=""btn-soft disabled"">'+s"
markCmsInvestigationCompleteSimple,2,Code.gs,2579,function,"function markCmsInvestigationCompleteSimple(complaintNo, remark) {"
markCmsInvestigationCompleteSimple,2,Code_P6_2_FirestoreStageCapaActions.gs,235,function,"function markCmsInvestigationCompleteSimple(complaintNo, remark) {"
onOpen,2,Testing.gs,25,function,function onOpen() {
