function,count,file,line,type,snippet
add,2,Code.gs,1004,function,"function add(label, value) {"
add,2,p63_patch/Code_P6_3_WorkspaceChatAccess.gs,84,function,"function add(code, label, type, needsRemark) {"
addButtons,1,p65_patch/CMS_Bootstrap_P6_5_UserAccessManagement.html,30,function,function addButtons(){
addCmsInfoRequestComment,1,Code.gs,2229,function,"function addCmsInfoRequestComment(requestId, message, attachmentDataUrl) {"
addLink,1,Code.gs,1010,function,"function addLink(label, text, url) {"
analytics,1,p64_patch/CMS_Bootstrap_P6_4_DashboardChatDataFix.html,41,function,"function analytics(rows,res){var a=(res&&res.analytics)||{}, byS=a.byStage||[], byV=a.bySeverity||[]; if(!byS.length){var m={};(rows||[]).forEach(function(r){va"
appendCmsHistory_,1,Code.gs,1675,function,"function appendCmsHistory_(complaintNo, oldStatus, newStatus, remark, updatedBy, rowNo) {"
appendCmsNotification_,1,Code.gs,2040,function,function appendCmsNotification_(payload) {
appendInfoMessage_,1,Code.gs,2132,function,"function appendInfoMessage_(request, user, type, message, attachmentUrl) {"
appendLifecycleAudit_,1,Code.gs,1682,function,function appendLifecycleAudit_(payload) {
appendWhatsappAttemptLog_,1,Code.gs,1129,function,function appendWhatsappAttemptLog_(data) {
approveCmsCapaAndCloseP6,2,Code_P6_1_FirestoreFastIntegration.gs,196,function,"function approveCmsCapaAndCloseP6(complaintNo, remark) {"
approveCmsCapaAndCloseP6,2,Code_P6_2_FirestoreStageCapaActions.gs,267,function,"function approveCmsCapaAndCloseP6(complaintNo, remark) {"
authenticateCmsLoginV2,1,Code.gs,729,function,"function authenticateCmsLoginV2(email, password) {"
authenticateUser,1,Code.gs,710,function,"function authenticateUser(email, password) {"
bars,1,p64_patch/CMS_Bootstrap_P6_4_DashboardChatDataFix.html,40,function,"function bars(id,items){var el=q(id); if(!el)return; items=items||[]; el.innerHTML=items.length?items.map(function(x){return '<div class=""d-flex justify-content"
boot,1,p65_patch/CMS_Bootstrap_P6_5_UserAccessManagement.html,96,function,function boot(){ensureModal();addButtons();}
box,1,p63_patch/CMS_Bootstrap_P6_3_WorkspaceChatFix.html,119,function,"function box(k,v){return '<div class=""p63-info-box""><span>'+esc(k)+'</span><b>'+esc(v)+'</b></div>';}"
buildCardsClientP7,1,p70_patch/CMS_Bootstrap_P7_0_StabilizationRefactor.html,391,function,function buildCardsClientP7(rows){
buildCmsFyAnalytics_,1,Code.gs,1873,function,function buildCmsFyAnalytics_(rows) {
buildComplaintTrackerLink_,1,Code.gs,396,function,function buildComplaintTrackerLink_(complaintNo) {
buildComplaintUpdateLink_,1,Code.gs,402,function,function buildComplaintUpdateLink_(complaintNo) {
buildComplaintWhatsappPayload_,1,Code.gs,1171,function,function buildComplaintWhatsappPayload_(basePayload) {
